credit_id,value_date,utr,amount,raw_narration
BC-BATCH0001,2026-08-09,UTR945923902,14349.37,RAZORPAY SETTLEMENT BATCH0001
BC-BATCH0002,2026-08-11,UTR341387305,37968.94,RAZORPAY SETTLEMENT BATCH0002
BC-ORPHAN-BATCH0002,2026-08-12,UTR795392488,1595.96,UNKNOWN CREDIT
BC-BATCH0003,2026-08-07,UTR738923667,56501.65,RAZORPAY SETTLEMENT BATCH0003
BC-BATCH0004,2026-08-10,UTR839462365,48027.79,RAZORPAY SETTLEMENT BATCH0004
BC-BATCH0005,2026-08-04,UTR186373782,33003.38,RAZORPAY SETT BATCH0005 PARTIAL
BC-BATCH0006,2026-08-04,UTR198061499,38853.880000000005,RAZORPAY SETTLEMENT BATCH0006
BC-BATCH0007,2026-08-05,UTR605196410,67466.76999999999,RAZORPAY SETTLEMENT BATCH0007
BC-BATCH0008,2026-08-06,UTR197970787,65576.11,RAZORPAY SETTLEMENT BATCH0008
BC-BATCH0009,2026-08-23,UTR811443654,31298.76,RAZORPAY SETTLEMENT BATCH0009
BC-BATCH0010-A,2026-08-12,UTR371011200,64946.95,RAZORPAY SETTLEMENT BATCH0010
BC-BATCH0010-B,2026-08-12,UTR371011200,64946.95,RAZORPAY SETTLEMENT BATCH0010 DUPLICATE
BC-BATCH0011,2026-08-08,UTR596043327,26692.539999999997,RAZORPAY SETTLEMENT BATCH0011 DELAYED
BC-BATCH0012,2026-08-16,UTR916033628,34406.34,RAZORPAY SETTLEMENT BATCH0012
BC-BATCH0013,2026-08-14,UTR570423569,42205.3,RAZORPAY SETTLEMENT BATCH0013 DELAYED
BC-BATCH0014,2026-08-05,UTR114682844,92623.10999999999,RAZORPAY SETTLEMENT BATCH0014
BC-BATCH0015,2026-08-04,UTR226128312,31393.589999999997,RAZORPAY SETTLEMENT BATCH0015
BC-BATCH0016,2026-08-13,UTR996278008,38284.07,RAZORPAY SETTLEMENT BATCH0016 DELAYED
BC-BATCH0017,2026-08-06,UTR304666325,26038.539999999997,RAZORPAY SETTLEMENT BATCH0017
BC-BATCH0018,2026-08-05,UTR464938258,40665.14000000001,RAZORPAY SETTLEMENT BATCH0018
BC-BATCH0019,2026-08-10,UTR620057604,32179.770000000004,RAZORPAY SETTLEMENT BATCH0019
BC-BATCH0020,2026-08-06,UTR848933239,61025.149999999994,RAZORPAY SETTLEMENT BATCH0020
BC-BATCH0021,2026-08-03,UTR441639230,41461.380000000005,RAZORPAY SETTLEMENT BATCH0021
BC-BATCH0022,2026-08-07,UTR139749508,71973.35,RAZORPAY SETTLEMENT BATCH0022
BC-BATCH0023,2026-08-05,UTR664735673,36561.58,RAZORPAY SETTLEMENT BATCH0023
BC-ORPHAN-BATCH0023,2026-08-06,UTR590622789,1061.39,UNKNOWN CREDIT
BC-BATCH0024,2026-08-06,UTR463527356,51994.0,RAZORPAY SETT BATCH0024 NET OF REFUND
BC-BATCH0025,2026-08-03,UTR773020489,24984.780000000002,RAZORPAY SETTLEMENT BATCH0025
BC-BATCH0026,2026-08-08,UTR777703980,11749.85,RAZORPAY SETT BATCH0026 PARTIAL
BC-BATCH0027,2026-08-09,UTR916440738,63300.55,RAZORPAY SETT BATCH0027 PARTIAL
BC-BATCH0028,2026-08-05,UTR149382425,46192.32,RAZORPAY SETT BATCH0028 NET OF REFUND
BC-BATCH0029,2026-08-07,UTR362204999,36441.0,RAZORPAY SETTLEMENT BATCH0029
BC-BATCH0030,2026-08-08,UTR754436820,84210.79000000001,RAZORPAY SETTLEMENT BATCH0030
BC-BATCH0031,2026-08-06,UTR595155950,53930.86,RAZORPAY SETTLEMENT BATCH0031
BC-ORPHAN-BATCH0031,2026-08-07,UTR784944881,2015.91,UNKNOWN CREDIT
BC-BATCH0032,2026-08-09,UTR574303740,48349.21000000001,RAZORPAY SETTLEMENT BATCH0032
BC-ORPHAN-BATCH0032,2026-08-10,UTR471048258,4950.61,UNKNOWN CREDIT
BC-BATCH0033,2026-08-03,UTR513061224,38335.61,RAZORPAY SETTLEMENT BATCH0033
BC-BATCH0034,2026-08-04,UTR417690559,31536.6,RAZORPAY SETTLEMENT BATCH0034
BC-BATCH0035,2026-08-03,UTR707661655,44366.08,RAZORPAY SETTLEMENT BATCH0035
BC-BATCH0036,2026-08-02,UTR961067882,50583.119999999995,RAZORPAY SETTLEMENT BATCH0036
BC-BATCH0037,2026-08-05,UTR774576271,59813.119999999995,RAZORPAY SETTLEMENT BATCH0037 DELAYED
BC-BATCH0038,2026-08-10,UTR491766764,29678.44,RAZORPAY SETTLEMENT BATCH0038 DELAYED
BC-BATCH0039,2026-08-05,UTR241905500,60734.259999999995,RAZORPAY SETTLEMENT BATCH0039
BC-BATCH0040,2026-08-03,UTR965960427,16233.98,RAZORPAY SETTLEMENT BATCH0040
BC-BATCH0041,2026-08-07,UTR909763993,21091.29,RAZORPAY SETTLEMENT BATCH0041 DELAYED
BC-BATCH0042,2026-08-07,UTR383960237,14750.39,RAZORPAY SETTLEMENT BATCH0042
