settlement_id,order_id,settled_date,gross_amount,razorpay_fee,gst_on_fee,net_amount,is_partial_hold,hold_reason
SETT-BATCH0001-ORD00001,ORD00001,2026-08-08,1612.33,32.25,5.8,1574.28,False,
SETT-BATCH0001-ORD00002,ORD00002,2026-08-08,1604.71,32.09,5.78,1566.84,False,
SETT-BATCH0001-ORD00003,ORD00003,2026-08-08,6362.93,127.26,22.91,6212.76,False,
SETT-BATCH0001-ORD00004,ORD00004,2026-08-08,2238.38,44.77,8.06,2185.55,False,
SETT-BATCH0001-ORD00005,ORD00005,2026-08-08,1403.03,28.06,5.05,1369.92,False,
SETT-BATCH0001-ORD00006,ORD00006,2026-08-08,1474.83,29.5,5.31,1440.02,False,
SETT-BATCH0002-ORD00007,ORD00007,2026-08-10,5593.67,111.87,20.14,5461.66,False,
SETT-BATCH0002-ORD00008,ORD00008,2026-08-10,10097.48,201.95,36.35,9859.18,False,
SETT-BATCH0002-ORD00009,ORD00009,2026-08-10,1133.92,22.68,4.08,1107.16,False,
SETT-BATCH0002-ORD00010,ORD00010,2026-08-10,1935.82,38.72,6.97,1890.13,False,
SETT-BATCH0002-ORD00011,ORD00011,2026-08-10,1069.89,21.4,3.85,1044.64,False,
SETT-BATCH0002-ORD00012,ORD00012,2026-08-10,19055.89,381.12,68.6,18606.17,False,
SETT-BATCH0003-ORD00013,ORD00013,2026-08-06,1189.14,23.78,4.28,1161.08,False,
SETT-BATCH0003-ORD00014,ORD00014,2026-08-06,34463.36,689.27,124.07,33650.02,False,
SETT-BATCH0003-ORD00015,ORD00015,2026-08-06,1442.96,28.86,5.19,1408.91,False,
SETT-BATCH0003-ORD00016,ORD00016,2026-08-06,18660.28,373.21,67.18,18219.89,False,
SETT-BATCH0003-ORD00017,ORD00017,2026-08-06,1491.89,29.84,5.37,1456.68,False,
SETT-BATCH0003-ORD00018,ORD00018,2026-08-06,619.69,12.39,2.23,605.07,False,
SETT-BATCH0004-ORD00019,ORD00019,2026-08-09,15701.89,314.04,56.53,15331.32,False,
SETT-BATCH0004-ORD00020,ORD00020,2026-08-09,4918.66,98.37,17.71,4802.58,False,
SETT-BATCH0004-ORD00021,ORD00021,2026-08-09,1505.26,30.11,5.42,1469.73,False,
SETT-BATCH0004-ORD00022,ORD00022,2026-08-09,19720.53,394.41,70.99,19255.13,False,
SETT-BATCH0004-ORD00023,ORD00023,2026-08-09,6273.12,125.46,22.58,6125.08,False,
SETT-BATCH0004-ORD00024,ORD00024,2026-08-09,1069.18,21.38,3.85,1043.95,False,
SETT-BATCH0005-ORD00025,ORD00025,2026-08-03,6455.6,129.11,23.24,6303.25,True,Risk Review
SETT-BATCH0005-ORD00026,ORD00026,2026-08-03,1652.47,33.05,5.95,1613.47,True,Risk Review
SETT-BATCH0005-ORD00027,ORD00027,2026-08-03,548.15,10.96,1.97,535.22,True,Risk Review
SETT-BATCH0005-ORD00028,ORD00028,2026-08-03,2529.51,50.59,9.11,2469.81,True,Risk Review
SETT-BATCH0005-ORD00029,ORD00029,2026-08-03,23145.51,462.91,83.32,22599.28,True,Risk Review
SETT-BATCH0005-ORD00030,ORD00030,2026-08-03,1248.85,24.98,4.5,1219.37,True,Risk Review
SETT-BATCH0006-ORD00031,ORD00031,2026-08-03,16882.78,337.66,60.78,16484.34,False,
SETT-BATCH0006-ORD00032,ORD00032,2026-08-03,1617.48,32.35,5.82,1579.31,False,
SETT-BATCH0006-ORD00033,ORD00033,2026-08-03,1376.88,27.54,4.96,1344.38,False,
SETT-BATCH0006-ORD00034,ORD00034,2026-08-03,4895.97,97.92,17.63,4780.42,False,
SETT-BATCH0006-ORD00035,ORD00035,2026-08-03,2727.28,54.55,9.82,2662.91,False,
SETT-BATCH0006-ORD00036,ORD00036,2026-08-03,12292.62,245.85,44.25,12002.52,False,
SETT-BATCH0007-ORD00037,ORD00037,2026-08-04,16332.4,326.65,58.8,15946.95,False,
SETT-BATCH0007-ORD00038,ORD00038,2026-08-04,1393.83,27.88,5.02,1360.93,False,
SETT-BATCH0007-ORD00039,ORD00039,2026-08-04,9768.63,195.37,35.17,9538.09,False,
SETT-BATCH0007-ORD00040,ORD00040,2026-08-04,20204.25,404.09,72.74,19727.42,False,
SETT-BATCH0007-ORD00041,ORD00041,2026-08-04,6295.76,125.92,22.67,6147.17,False,
SETT-BATCH0007-ORD00042,ORD00042,2026-08-04,15102.63,302.05,54.37,14746.21,False,
SETT-BATCH0008-ORD00043,ORD00043,2026-08-05,5629.79,112.6,20.27,5496.92,False,
SETT-BATCH0008-ORD00044,ORD00044,2026-08-05,7757.45,155.15,27.93,7574.37,False,
SETT-BATCH0008-ORD00045,ORD00045,2026-08-05,17615.23,352.3,63.41,17199.52,False,
SETT-BATCH0008-ORD00046,ORD00046,2026-08-05,14476.67,289.53,52.12,14135.02,False,
SETT-BATCH0008-ORD00047,ORD00047,2026-08-05,3591.29,71.83,12.93,3506.53,False,
SETT-BATCH0008-ORD00048,ORD00048,2026-08-05,18090.69,361.81,65.13,17663.75,False,
SETT-BATCH0009-ORD00049,ORD00049,2026-08-22,23777.4,475.55,85.6,23216.25,False,
SETT-BATCH0009-ORD00050,ORD00050,2026-08-22,529.22,10.58,1.9,516.74,False,
SETT-BATCH0009-ORD00051,ORD00051,2026-08-22,1977.98,39.56,7.12,1931.3,False,
SETT-BATCH0009-ORD00052,ORD00052,2026-08-22,586.89,11.74,2.11,573.04,False,
SETT-BATCH0009-ORD00053,ORD00053,2026-08-22,2630.06,52.6,9.47,2567.99,False,
SETT-BATCH0009-ORD00054,ORD00054,2026-08-22,2553.7,51.07,9.19,2493.44,False,
SETT-BATCH0010-ORD00055,ORD00055,2026-08-11,3006.08,60.12,10.82,2935.14,False,
SETT-BATCH0010-ORD00056,ORD00056,2026-08-11,6398.43,127.97,23.03,6247.43,False,
SETT-BATCH0010-ORD00057,ORD00057,2026-08-11,6852.75,137.06,24.67,6691.02,False,
SETT-BATCH0010-ORD00058,ORD00058,2026-08-11,1308.94,26.18,4.71,1278.05,False,
SETT-BATCH0010-ORD00059,ORD00059,2026-08-11,7703.59,154.07,27.73,7521.79,False,
SETT-BATCH0010-ORD00060,ORD00060,2026-08-11,41246.95,824.94,148.49,40273.52,False,
SETT-BATCH0011-ORD00061,ORD00061,2026-08-02,16772.29,335.45,60.38,16376.46,False,
SETT-BATCH0011-ORD00062,ORD00062,2026-08-02,1007.13,20.14,3.63,983.36,False,
SETT-BATCH0011-ORD00063,ORD00063,2026-08-02,6707.52,134.15,24.15,6549.22,False,
SETT-BATCH0011-ORD00064,ORD00064,2026-08-02,1446.65,28.93,5.21,1412.51,False,
SETT-BATCH0011-ORD00065,ORD00065,2026-08-02,547.12,10.94,1.97,534.21,False,
SETT-BATCH0011-ORD00066,ORD00066,2026-08-02,857.01,17.14,3.09,836.78,False,
SETT-BATCH0012-ORD00067,ORD00067,2026-08-15,6313.87,126.28,22.73,6164.86,False,
